Order_ID,Customer_Name,City,Order_Date,Sales_Amount,Payment_Mode,Remarks
101,rahul sharma,delhi,12/01/2024,"₹1,200",UPI,delivered
102,Anita  Verma,Mumbai ,2024-01-13,one thousand five hundred
,Credit Card, Delivered 
103,ROHIT KUMAR,DELHI,14-01-2024,"$1,800",Cash,late delivery
103,ROHIT KUMAR,DELHI,14-01-2024,"$1,800",Cash,late delivery
104,,Bangalore,01/15/24,,UPI,
105,Priya Singh,banglore,16 Jan 2024,"2,000 INR",upi,ok
106,Amit$,,2024/01/17,₹2500,Debit Card,
107,Neha  Gupta,Pune,,"3,000",,Returned
108, ,Delhi,18-01-24,₹,Cash,delivered
109,Suresh Patel,Ahmedabad,"January 19, 2024","4,500",Credit Card,Delivered

